batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,ec89f0e8-3400-4186-b5e4-c329795c933b,2,false,1,true,accepted_better_distance|tier=dist_0.5_to_1.5;dist=0.8658;center_gap=3.94;mode=word_only;dominant=word;dir_changed=0;wb=28;sb=5;lf=1.19;df=1.32;af=na;pg=na;pd=na,0.408,0.8658,0.408,-0.4578,true,1,10.76,53.85,11,10.62,9.26,0
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,ec89f0e8-3400-4186-b5e4-c329795c933b,2,false,2,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.4080;center_gap=2.51;mode=word_budget_3;dominant=word;dir_changed=0;wb=11;sb=2;lf=1.19;df=1.04;af=0.3964;pg=0.8658;pd=0.4578,0.3375,0.408,0.3375,-0.0705,true,1,10.47,55.95,10.73,10.28,8.83,0
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,ec89f0e8-3400-4186-b5e4-c329795c933b,2,false,3,false,stopped_zero_adaptive_budget|tier=dist_lt_0.5;dist=0.3375;center_gap=2.29;mode=word_budget_3;dominant=word;dir_changed=0;wb=0;sb=0;lf=1.19;df=1.00;af=0.0288;pg=0.4080;pd=0.0705,0.3375,0.3375,0.3375,0,false,1,10.47,55.95,10.73,10.28,8.83,0
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,cdbba472-e71e-4215-afbd-6509859f7fa9,4,false,1,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=na;pg=na;pd=na,0.3248,0.0185,0.0185,0.3063,false,0.9124,13.8,23.15,14.25,17.33,9.77,0
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,cdbba472-e71e-4215-afbd-6509859f7fa9,4,false,1,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=na;pg=na;pd=na,1.1562,0.0185,0.0185,1.1377,false,0.7814,17.41,-1.41,17.66,21.2,12.17,0
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,cdbba472-e71e-4215-afbd-6509859f7fa9,4,false,1,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=na;pg=na;pd=na,0.5136,0.0185,0.0185,0.4951,false,0.9334,15.07,16.79,15.29,17.83,10.91,0
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,cdbba472-e71e-4215-afbd-6509859f7fa9,4,false,2,false,stopped_zero_adaptive_budget|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=0;sb=0;lf=1.19;df=0.81;af=0.0000;pg=0.0185;pd=0.0000,0.0185,0.0185,0.0185,0,false,1,12.36,42.43,12.47,12.44,10.49,0
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,c30308fe-848b-4bfe-afce-1fec07c927be,2,false,1,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.3498;center_gap=2.12;mode=word_budget_3;dominant=word;dir_changed=0;wb=4;sb=4;lf=1.24;df=1.01;af=na;pg=na;pd=na,0.3196,0.3498,0.3196,-0.0302,true,1,10.06,54.03,10.37,11.31,8.67,0
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,c30308fe-848b-4bfe-afce-1fec07c927be,2,false,2,false,stopped_zero_adaptive_budget|tier=dist_lt_0.5;dist=0.3196;center_gap=2.09;mode=word_budget_3;dominant=word;dir_changed=0;wb=0;sb=0;lf=1.24;df=0.99;af=0.0106;pg=0.3498;pd=0.0302,0.3196,0.3196,0.3196,0,false,1,10.06,54.03,10.37,11.31,8.67,0
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,e1199ada-9b3a-4940-92cb-f3416552201d,4,false,1,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.1490;center_gap=2.88;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=8;sb=1;lf=1.24;df=0.89;af=na;pg=na;pd=na,0.0724,0.149,0.0724,-0.0766,true,0.99,12.28,35.77,12.01,14.03,9.73,0
adj_q_small_20260227_213420,ch5_small_adjust_questions_20260227_213420,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,e1199ada-9b3a-4940-92cb-f3416552201d,4,false,2,false,stopped_zero_adaptive_budget|tier=dist_lt_0.5;dist=0.0724;center_gap=1.35;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=0;sb=0;lf=1.19;df=0.84;af=0.0114;pg=0.1490;pd=0.0766,0.0724,0.0724,0.0724,0,false,0.99,12.28,35.77,12.01,14.03,9.73,0
