batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260227_205152,ch5_small_adjust_questions_20260227_205152,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,caeee8ab-58fa-48e9-a71a-fe7515b2aa05,2,false,1,true,accepted_better_distance|tier=dist_0.5_to_1.5;dist=0.8658;center_gap=3.94;mode=word_only;dominant=word;dir_changed=0,0.1475,0.8658,0.1475,-0.7183,true,0.9745,9.53,62.14,9.89,9.4,8.67,0
adj_q_small_20260227_205152,ch5_small_adjust_questions_20260227_205152,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,caeee8ab-58fa-48e9-a71a-fe7515b2aa05,2,false,2,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.1475;center_gap=1.75;mode=word_budget_3;dominant=word;dir_changed=0,0.136,0.1475,0.136,-0.0115,true,0.9745,9.45,62.74,9.82,9.32,8.62,0
adj_q_small_20260227_205152,ch5_small_adjust_questions_20260227_205152,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,caeee8ab-58fa-48e9-a71a-fe7515b2aa05,2,false,3,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.1360;center_gap=1.72;mode=word_budget_3;dominant=word;dir_changed=0,0.128,0.136,0.128,-0.008,true,0.9745,9.39,63.15,9.78,9.27,8.62,0
adj_q_small_20260227_205152,ch5_small_adjust_questions_20260227_205152,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,caeee8ab-58fa-48e9-a71a-fe7515b2aa05,2,false,4,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.1280;center_gap=1.68;mode=word_budget_3;dominant=word;dir_changed=0,0.1225,0.128,0.1225,-0.0055,true,0.9745,9.35,63.45,9.75,9.22,8.58,0
adj_q_small_20260227_205152,ch5_small_adjust_questions_20260227_205152,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,caeee8ab-58fa-48e9-a71a-fe7515b2aa05,2,false,5,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.1225;center_gap=1.67;mode=word_budget_3;dominant=word;dir_changed=0,0.112,0.1225,0.112,-0.0105,true,0.9745,9.28,63.96,9.68,9.14,8.58,0
adj_q_small_20260227_205152,ch5_small_adjust_questions_20260227_205152,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,ccc53388-377d-4509-b735-be8ff25cf698,4,false,1,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0,0.1475,0.0185,0.0185,0.129,false,0.9845,13.73,28.73,14.01,15.55,10.51,0
adj_q_small_20260227_205152,ch5_small_adjust_questions_20260227_205152,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,ccc53388-377d-4509-b735-be8ff25cf698,4,false,1,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0,0.9103,0.0185,0.0185,0.8918,false,0.8296,16.29,5.52,16.69,20.3,10.89,0
adj_q_small_20260227_205152,ch5_small_adjust_questions_20260227_205152,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,ccc53388-377d-4509-b735-be8ff25cf698,4,false,1,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0,0.8994,0.0185,0.0185,0.8809,false,0.8059,16.67,7.35,17.13,19.55,11.92,0
adj_q_small_20260227_205152,ch5_small_adjust_questions_20260227_205152,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,ccc53388-377d-4509-b735-be8ff25cf698,4,false,2,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0,0.0171,0.0185,0.0171,-0.0014,true,1,12.49,41.48,12.62,12.64,10.53,0
adj_q_small_20260227_205152,ch5_small_adjust_questions_20260227_205152,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,ccc53388-377d-4509-b735-be8ff25cf698,4,false,3,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.0171;center_gap=1.36;mode=sentence_budget_1;dominant=sentence;dir_changed=0,0.0098,0.0171,0.0098,-0.0073,true,1,12.74,40.3,12.93,12.84,10.73,0
