batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,1,true,accepted_better_distance|tier=dist_gt_2;dist=2.6805;center_gap=3.94;mode=both;dominant=word;dir_changed=0;wb=52;sb=15;lf=1.19;df=2.10;af=na;pg=na;pd=na;af_fb=0,1.1167,2.6805,1.1167,-1.5638,true,0.9534,5.58,67.64,5.1,8.72,3.89,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,2,true,accepted_better_distance|tier=dist_1_to_2;dist=1.1167;center_gap=2.98;mode=sentence_budget_1;dominant=sentence;dir_changed=1;wb=11;sb=2;lf=1.03;df=1.46;af=0.7141;pg=2.6805;pd=1.5638;af_fb=0,1.0605,1.1167,1.0605,-0.0562,true,0.9534,5.68,67.03,5.29,8.95,3.92,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,3,false,rejected_not_better_regenerate|tier=dist_1_to_2;dist=1.0605;center_gap=2.87;mode=sentence_only;dominant=sentence;dir_changed=0;wb=45;sb=32;lf=1.03;df=1.43;af=3.0000;pg=1.1167;pd=0.0562;af_fb=0,1.3354,1.0605,1.0605,0.2749,false,0.9534,9.49,57.81,10.36,11.38,7.95,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,3,false,rejected_not_better_regenerate|tier=dist_1_to_2;dist=1.0605;center_gap=2.87;mode=sentence_only;dominant=sentence;dir_changed=0;wb=45;sb=32;lf=1.03;df=1.43;af=3.0000;pg=1.1167;pd=0.0562;af_fb=0,1.395,1.0605,1.0605,0.3345,false,0.9534,9.54,57.15,10.44,11.57,7.9,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,3,false,rejected_not_better_regenerate|tier=dist_1_to_2;dist=1.0605;center_gap=2.87;mode=sentence_only;dominant=sentence;dir_changed=0;wb=45;sb=32;lf=1.03;df=1.43;af=3.0000;pg=1.1167;pd=0.0562;af_fb=0,1.2746,1.0605,1.0605,0.2141,false,0.9534,9.44,58.29,10.21,11.17,7.97,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,4,false,rejected_not_better_regenerate|tier=dist_1_to_2;dist=1.0605;center_gap=2.87;mode=sentence_only;dominant=sentence;dir_changed=0;wb=15;sb=12;lf=1.03;df=1.43;af=1.0000;pg=1.0605;pd=0.0000;af_fb=1,1.29,1.0605,1.0605,0.2295,false,0.969,9.46,58.2,10.26,11.22,7.98,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,4,false,rejected_not_better_regenerate|tier=dist_1_to_2;dist=1.0605;center_gap=2.87;mode=sentence_only;dominant=sentence;dir_changed=0;wb=15;sb=12;lf=1.03;df=1.43;af=1.0000;pg=1.0605;pd=0.0000;af_fb=1,1.3565,1.0605,1.0605,0.296,false,0.9534,9.51,57.32,10.3,11.41,7.88,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,4,false,rejected_not_better_regenerate|tier=dist_1_to_2;dist=1.0605;center_gap=2.87;mode=sentence_only;dominant=sentence;dir_changed=0;wb=15;sb=12;lf=1.03;df=1.43;af=1.0000;pg=1.0605;pd=0.0000;af_fb=1,1.3567,1.0605,1.0605,0.2962,false,0.9534,9.47,57.2,10.24,11.45,7.81,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,5,false,rejected_not_better_regenerate|tier=dist_1_to_2;dist=1.0605;center_gap=2.87;mode=sentence_only;dominant=sentence;dir_changed=0;wb=15;sb=12;lf=1.03;df=1.43;af=1.0000;pg=1.0605;pd=0.0000;af_fb=1,1.2796,1.0605,1.0605,0.2191,false,0.9534,9.46,58.29,10.25,11.17,8,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,5,false,rejected_not_better_regenerate|tier=dist_1_to_2;dist=1.0605;center_gap=2.87;mode=sentence_only;dominant=sentence;dir_changed=0;wb=15;sb=12;lf=1.03;df=1.43;af=1.0000;pg=1.0605;pd=0.0000;af_fb=1,1.3103,1.0605,1.0605,0.2498,false,0.9534,9.45,57.85,10.24,11.3,7.91,0
