batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,8b48680f-d037-4710-80eb-44f62e3add92,2,false,1,true,accepted_better_distance|tier=dist_0.5_to_1.5;dist=0.8658;center_gap=3.94;mode=word_only;dominant=word;dir_changed=0;wb=28;sb=5;lf=1.19;df=1.32;af=na;pg=na;pd=na;af_fb=0,0.4389,0.8658,0.4389,-0.4269,true,1,10.87,52.92,11.15,10.86,9.32,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,8b48680f-d037-4710-80eb-44f62e3add92,2,false,2,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.4389;center_gap=2.61;mode=word_budget_3;dominant=word;dir_changed=0;wb=40;sb=10;lf=1.19;df=1.06;af=2.0281;pg=0.8658;pd=0.4269;af_fb=0,0.093,0.4389,0.093,-0.3459,true,0.959,6.4,69.66,6.11,8.83,5.34,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,8b48680f-d037-4710-80eb-44f62e3add92,2,false,3,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0930;center_gap=1.88;mode=sentence_budget_1;dominant=sentence;dir_changed=1;wb=40;sb=13;lf=1.12;df=0.86;af=1.2689;pg=0.4389;pd=0.3459;af_fb=0,0.7806,0.093,0.093,0.6876,false,0.9534,10.69,39.22,10.69,14.48,6.48,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,8b48680f-d037-4710-80eb-44f62e3add92,2,false,3,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.0930;center_gap=1.88;mode=sentence_budget_1;dominant=sentence;dir_changed=1;wb=40;sb=13;lf=1.12;df=0.86;af=1.2689;pg=0.4389;pd=0.3459;af_fb=0,0.08,0.093,0.08,-0.013,true,0.959,6.5,69.21,6.25,8.94,5.4,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,8b48680f-d037-4710-80eb-44f62e3add92,2,false,4,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0800;center_gap=1.78;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=40;sb=23;lf=1.12;df=0.85;af=4.0000;pg=0.0930;pd=0.0130;af_fb=0,0.08,0.08,0.08,0,false,0.959,6.5,69.18,6.28,8.98,5.4,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,8b48680f-d037-4710-80eb-44f62e3add92,2,false,4,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0800;center_gap=1.78;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=40;sb=23;lf=1.12;df=0.85;af=4.0000;pg=0.0930;pd=0.0130;af_fb=0,1.1509,0.08,0.08,1.0709,false,0.9024,11.8,28.36,11.67,16.31,7.08,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,8b48680f-d037-4710-80eb-44f62e3add92,2,false,4,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0800;center_gap=1.78;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=40;sb=23;lf=1.12;df=0.85;af=4.0000;pg=0.0930;pd=0.0130;af_fb=0,0.9719,0.08,0.08,0.8919,false,0.9379,11.26,33.16,11.2,15.53,6.97,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,8b48680f-d037-4710-80eb-44f62e3add92,2,false,5,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0800;center_gap=1.78;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=40;sb=23;lf=1.12;df=0.85;af=1.0000;pg=0.0800;pd=0.0000;af_fb=1,1.2411,0.08,0.08,1.1611,false,0.8769,12.19,26.28,11.94,16.51,7.23,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,8b48680f-d037-4710-80eb-44f62e3add92,2,false,5,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0800;center_gap=1.78;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=40;sb=23;lf=1.12;df=0.85;af=1.0000;pg=0.0800;pd=0.0000;af_fb=1,1.0888,0.08,0.08,1.0088,false,0.9124,11.83,31.59,11.8,15.74,7.3,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,8b48680f-d037-4710-80eb-44f62e3add92,2,false,5,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0800;center_gap=1.78;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=40;sb=23;lf=1.12;df=0.85;af=1.0000;pg=0.0800;pd=0.0000;af_fb=1,1.2562,0.08,0.08,1.1762,false,0.9079,12.17,26.05,12.04,16.69,7.57,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,1,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=na;pg=na;pd=na;af_fb=0,0.8702,0.0185,0.0185,0.8517,false,0.8403,16.25,8.4,17.05,20,11.6,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,1,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=na;pg=na;pd=na;af_fb=0,1.0666,0.0185,0.0185,1.0481,false,0.7903,17.15,1.64,17.47,20.63,12.18,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,1,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=na;pg=na;pd=na;af_fb=0,0.5203,0.0185,0.0185,0.5018,false,0.8769,15,16.53,15.3,18.07,10.96,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,2,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=1.0000;pg=0.0185;pd=0.0000;af_fb=1,0.7527,0.0185,0.0185,0.7342,false,0.8414,15.78,10.1,16.11,19.31,10.77,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,2,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=1.0000;pg=0.0185;pd=0.0000;af_fb=1,1.1244,0.0185,0.0185,1.1059,false,0.7703,17.29,0.53,17.81,21.08,12.06,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,2,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=1.0000;pg=0.0185;pd=0.0000;af_fb=1,0.8961,0.0185,0.0185,0.8776,false,0.8169,16.3,6.3,16.78,20.18,11.32,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,3,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=1.0000;pg=0.0185;pd=0.0000;af_fb=1,0.843,0.0185,0.0185,0.8245,false,0.7959,16.09,8.83,16.85,19.97,11.18,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,3,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=1.0000;pg=0.0185;pd=0.0000;af_fb=1,0.8715,0.0185,0.0185,0.853,false,0.8259,16.18,8,16.94,20.14,10.99,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,3,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=1.0000;pg=0.0185;pd=0.0000;af_fb=1,0.8413,0.0185,0.0185,0.8228,false,0.8514,16.25,8.58,16.79,19.63,11.71,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,4,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.0185;center_gap=1.28;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=7;sb=1;lf=1.19;df=0.81;af=1.0000;pg=0.0185;pd=0.0000;af_fb=1,0.0156,0.0185,0.0156,-0.0029,true,1,12.48,41.54,12.64,12.67,10.57,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,5,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0156;center_gap=1.35;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=28;sb=4;lf=1.19;df=0.81;af=4.0000;pg=0.0185;pd=0.0029;af_fb=0,0.197,0.0156,0.0156,0.1814,false,1,13.76,27.38,13.99,15.86,10.03,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,5,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0156;center_gap=1.35;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=28;sb=4;lf=1.19;df=0.81;af=4.0000;pg=0.0185;pd=0.0029;af_fb=0,0.0167,0.0156,0.0156,0.0011,false,1,12.56,40.7,12.72,12.84,10.54,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,29a64905-1442-4cfb-a625-e71bec1dfd6b,4,false,5,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.0156;center_gap=1.35;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=28;sb=4;lf=1.19;df=0.81;af=4.0000;pg=0.0185;pd=0.0029;af_fb=0,0.0124,0.0156,0.0124,-0.0032,true,1,12.66,40.19,12.86,12.96,10.66,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,fb1125c5-4405-4b98-86fc-bb0e97e33eb3,2,true,1,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.3498;center_gap=2.12;mode=word_budget_3;dominant=word;dir_changed=0;wb=4;sb=4;lf=1.24;df=1.01;af=na;pg=na;pd=na;af_fb=0,0.3233,0.3498,0.3233,-0.0265,true,1,10.07,53.94,10.38,11.33,8.71,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,fb1125c5-4405-4b98-86fc-bb0e97e33eb3,2,true,2,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.3233;center_gap=2.08;mode=word_budget_3;dominant=word;dir_changed=0;wb=16;sb=16;lf=1.24;df=0.99;af=4.0000;pg=0.3498;pd=0.0265;af_fb=0,0.2302,0.3233,0.2302,-0.0931,true,1,9.75,56.16,10.08,10.97,8.48,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,fb1125c5-4405-4b98-86fc-bb0e97e33eb3,2,true,3,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.2302;center_gap=1.95;mode=word_budget_3;dominant=word;dir_changed=0;wb=40;sb=19;lf=1.24;df=0.94;af=3.4726;pg=0.3233;pd=0.0931;af_fb=0,0.003,0.2302,0.003,-0.2272,true,0.9598,7.27,69.82,7.28,8.65,6.94,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,fb1125c5-4405-4b98-86fc-bb0e97e33eb3,2,true,4,true,accepted_better_distance|tier=dist_lt_0.5;dist=0.0030;center_gap=0.86;mode=sentence_budget_1;dominant=sentence;dir_changed=1;wb=40;sb=19;lf=1.16;df=0.80;af=1.0132;pg=0.2302;pd=0.2272;af_fb=0,0,0.003,0,-0.003,true,0.9598,7.67,67.55,7.68,9,7.12,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,fb1125c5-4405-4b98-86fc-bb0e97e33eb3,2,true,5,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0000;center_gap=0.91;mode=sentence_budget_1;dominant=sentence;dir_changed=1;wb=40;sb=19;lf=1.16;df=0.80;af=1.0000;pg=0.0030;pd=0.0030;af_fb=0,0,0,0,0,false,0.9598,7.37,69.63,7.47,8.74,7.06,0
adj_q_small_20260227_221136,ch5_small_adjust_questions_20260227_221136,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,fb1125c5-4405-4b98-86fc-bb0e97e33eb3,2,true,5,false,rejected_not_better_regenerate|tier=dist_lt_0.5;dist=0.0000;center_gap=0.91;mode=sentence_budget_1;dominant=sentence;dir_changed=1;wb=40;sb=19;lf=1.16;df=0.80;af=1.0000;pg=0.0030;pd=0.0030;af_fb=0,0.2641,0,0,0.2641,false,0.9598,5.19,75.83,4.65,7.53,4.91,0
