article_id,file_name,generated_at,topic,level,target_words,word_count,len_dev_pct,sentence_count,complex_word_ratio,fk_grade,fre,ari,coleman_liau,gunning_fog,task_a_hit_by_level_band,model,provider,experiment_id,run_tag,batch_id,sample_id,attempts_used,max_attempts,selected_attempt,within_preferred_range,distance_to_target_words,prompt_tokens,completion_tokens,total_tokens,llm_calls,in_report_task_a_scope,report_task_a_n38_rank_in_model,report_task_a_selected_n38,data_origin
d86f01b5-f65d-48c0-90a0-49ba28a40a6c,d86f01b5-f65d-48c0-90a0-49ba28a40a6c.json,2026-02-25T20:44:01.879Z,marine ecosystems,5,600,483,19.5,15,0.19,24.62,-24.12,26.38,22.87,20.66,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,marine_ecosystems_l5_w600_r1,3,3,1,false,117,600,1711,2311,3,true,1,true,out_generated
df1aa7cb-5edb-4d6a-a540-9c6bf770155f,df1aa7cb-5edb-4d6a-a540-9c6bf770155f.json,2026-02-25T20:43:43.754Z,marine ecosystems,5,300,273,9,11,0.23,23.39,-28.46,24.07,24.32,19.16,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,marine_ecosystems_l5_w300_r1,1,3,1,true,27,200,368,568,1,true,2,true,out_generated
1d07bc5b-d510-4384-8583-aad7baff6773,1d07bc5b-d510-4384-8583-aad7baff6773.json,2026-02-25T20:43:38.909Z,marine ecosystems,4,600,496,17.3333,18,0.17,21.18,-7.73,22.68,20.99,17.88,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,marine_ecosystems_l4_w600_r1,3,3,1,false,104,606,1669,2275,3,true,3,true,out_generated
0ae1cae6-1308-47f1-b1d7-c27541b36b95,0ae1cae6-1308-47f1-b1d7-c27541b36b95.json,2026-02-25T20:43:22.170Z,marine ecosystems,4,300,311,3.6667,13,0.19,20.72,-10.86,21.99,22.23,17.29,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,marine_ecosystems_l4_w300_r1,1,3,1,true,11,202,404,606,1,true,4,true,out_generated
bb94b0dc-7a7e-4b24-bed9-b125f80f829c,bb94b0dc-7a7e-4b24-bed9-b125f80f829c.json,2026-02-25T20:43:16.865Z,marine ecosystems,3,600,557,7.1667,24,0.11,16.76,16.2,18.06,17.74,13.52,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,marine_ecosystems_l3_w600_r1,3,3,2,false,43,604,1870,2474,3,true,5,true,out_generated
e65afa41-0f0c-4a07-b85e-c2cfd520fd0f,e65afa41-0f0c-4a07-b85e-c2cfd520fd0f.json,2026-02-25T20:42:57.748Z,marine ecosystems,3,300,295,1.6667,14,0.11,16.11,17.11,17.33,18.04,12.9,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,marine_ecosystems_l3_w300_r1,1,3,1,true,5,202,370,572,1,true,6,true,out_generated
3f35015d-ec2c-43db-9178-2829bae8213d,3f35015d-ec2c-43db-9178-2829bae8213d.json,2026-02-25T20:42:52.907Z,marine ecosystems,2,600,607,1.1667,56,0.01,5.69,73.6,5.21,7.96,4.93,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,marine_ecosystems_l2_w600_r1,3,3,1,false,7,606,2148,2754,3,true,7,true,out_generated
88e6c42e-7b49-48d7-8ff4-a4f9015b2bb5,88e6c42e-7b49-48d7-8ff4-a4f9015b2bb5.json,2026-02-25T20:42:15.449Z,marine ecosystems,2,300,375,25,27,0.02,7.57,65.5,8,10.14,6.2,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,marine_ecosystems_l2_w300_r1,1,3,1,true,75,203,443,646,1,true,8,true,out_generated
837c3e47-379c-46d5-bd1c-5b8ed458748c,837c3e47-379c-46d5-bd1c-5b8ed458748c.json,2026-02-25T20:42:09.540Z,marine ecosystems,1,600,569,5.1667,53,0.01,4.67,80.71,3.87,6.33,4.65,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,marine_ecosystems_l1_w600_r1,2,3,1,false,31,402,1661,2063,2,true,9,true,out_generated
426fe219-568d-4715-b045-d3367805c640,426fe219-568d-4715-b045-d3367805c640.json,2026-02-25T20:41:54.291Z,marine ecosystems,1,300,333,11,32,0.02,5.05,77.38,4.44,7.15,4.76,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,marine_ecosystems_l1_w300_r1,3,3,1,false,33,599,1314,1913,3,true,10,true,out_generated
