batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,1,true,accepted_better_distance|tier=gt3;gap=3.94;mode=both,0.3565,0.8658,0.3565,-0.5093,true,0.8924,4.89,72.57,4.38,7.82,3.71,0
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,2,false,rejected_not_better_regenerate|tier=gt3;gap=3.51;mode=both,4.1338,0.3565,0.3565,3.7773,false,0.7448,22.69,-17.31,24.54,22.92,17.22,0
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,2,false,rejected_not_better_regenerate|tier=gt3;gap=3.51;mode=both,3.0152,0.3565,0.3565,2.6587,false,0.7293,18.5,-6.09,19.01,21.98,12.69,0
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,2,false,rejected_not_better_regenerate|tier=gt3;gap=3.51;mode=both,2.8681,0.3565,0.3565,2.5116,false,0.783,18.63,6.97,20.31,19.22,14.43,0
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,3,false,rejected_low_fidelity|tier=gt3;gap=3.51;mode=both,3.2777,0.3565,0.3565,2.9212,false,0.6885,19.36,-9.39,20.33,22.75,13.25,0
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,3,false,rejected_low_fidelity|tier=gt3;gap=3.51;mode=both,2.5809,0.3565,0.3565,2.2244,false,0.7175,17.24,3.68,17.79,20.23,12.1,0
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,3,false,rejected_low_fidelity|tier=gt3;gap=3.51;mode=both,3.808,0.3565,0.3565,3.4515,false,0.7093,21.37,-14.4,22.86,22.95,15.77,0
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,4,false,rejected_not_better_regenerate|tier=gt3;gap=3.51;mode=both,3.2278,0.3565,0.3565,2.8713,false,0.7393,19.11,-8.91,19.92,22.65,13.39,0
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,4,false,rejected_not_better_regenerate|tier=gt3;gap=3.51;mode=both,3.0495,0.3565,0.3565,2.693,false,0.7283,18.62,-5.66,19.25,21.88,13.11,0
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,4,false,rejected_not_better_regenerate|tier=gt3;gap=3.51;mode=both,3.7829,0.3565,0.3565,3.4264,false,0.7648,21.34,-14.43,22.47,22.55,16.11,0
adj_q_small_20260227_201346,ch5_small_adjust_questions_20260227_201346,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,9887ef56-90a8-499f-a7d5-a798b762507a,2,false,5,false,rejected_not_better_regenerate|tier=gt3;gap=3.51;mode=both,3.1582,0.3565,0.3565,2.8017,false,0.7293,18.91,-7.74,19.58,22.31,13.39,0
