batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,1,true,accepted_better_distance|tier=large;gap=3.94;mode=both,0.156,0.8658,0.156,-0.7098,true,0.9534,6.2,62.93,5.52,9.25,4.48,0
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,2,false,rejected_not_better_regenerate|tier=large;gap=2.43;mode=both,2.2575,0.156,0.156,2.1015,false,0.7848,15.76,8.4,16.52,20.35,10.37,0
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,2,false,rejected_not_better_regenerate|tier=large;gap=2.43;mode=both,1.7568,0.156,0.156,1.6008,false,0.8103,13.97,17.38,14.28,18.55,8.5,0
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,2,false,rejected_not_better_regenerate|tier=large;gap=2.43;mode=both,2.4793,0.156,0.156,2.3233,false,0.8003,16.67,4.78,17.46,20.69,11.37,0
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,3,false,rejected_not_better_regenerate|tier=large;gap=2.43;mode=both,2.5018,0.156,0.156,2.3458,false,0.7959,16.9,5.83,17.75,20.27,11.77,0
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,3,false,rejected_not_better_regenerate|tier=large;gap=2.43;mode=both,3.0977,0.156,0.156,2.9417,false,0.7548,18.67,-6.13,19.59,22.36,13.03,0
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,3,false,rejected_not_better_regenerate|tier=large;gap=2.43;mode=both,2.3524,0.156,0.156,2.1964,false,0.7903,16.21,7.62,17.12,20.41,11.13,0
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,4,false,rejected_not_better_regenerate|tier=large;gap=2.43;mode=both,2.4195,0.156,0.156,2.2635,false,0.7803,16.54,5.66,17.2,20.39,11.23,0
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,4,false,rejected_not_better_regenerate|tier=large;gap=2.43;mode=both,2.1129,0.156,0.156,1.9569,false,0.8059,14.83,4.06,14.47,20.21,8.93,0
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,4,false,rejected_not_better_regenerate|tier=large;gap=2.43;mode=both,2.3653,0.156,0.156,2.2093,false,0.7703,16.09,4.29,16.49,20.78,10.57,0
adj_q_small_20260227_193621,ch5_small_adjust_questions_20260227_193621,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,4d9e3e57-11c3-4e8b-a191-c0a83b93dd07,2,false,5,false,rejected_not_better_regenerate|tier=large;gap=2.43;mode=both,3.0799,0.156,0.156,2.9239,false,0.7393,18.66,-5.13,19.68,22.17,13.06,0
